School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,"   1,447",       1,,,,,,,
Abington - Abington High,00010505,     603,       1,,,,,,,
Abington - Abington Middle School,00010405,     668,       1,,,,,,,
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     534,      10,   0.0,   1.3,   0.0,   0.6,   1.3,   0.0,   0.0
Acton-Boxborough - Acton-Boxborough Regional High,06000505,"   1,727",       1,,,,,,,
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     981,       2,,,,,,,
Agawam - Agawam High,00050505,"   1,041",       4,,,,,,,
Agawam - Agawam Junior High,00050405,     601,       2,,,,,,,
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     978,       1,,,,,,,
Amesbury - Amesbury Middle,00070013,     628,       2,,,,,,,
Andover - Andover High,00090505,"   1,701",       2,,,,,,,
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     577,       5,,,,,,,
Arlington - Arlington High,00100505,"   1,523",       1,,,,,,,
Arlington - Gibbs School,00100305,     464,       1,,,,,,,
Ashburnham-Westminster - Oakmont Regional High School,06100505,     639,       1,,,,,,,
Ashland - Ashland High,00140505,     844,       2,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,"   1,145",       2,,,,,,,
Athol-Royalston - Athol High,06150505,     401,       2,,,,,,,
Athol-Royalston - Athol-Royalston Middle School,06150305,     474,       1,,,,,,,
Atlantis Charter (District) - Atlantis Charter School,04910550,"   1,316",       5,,,,,,,
Attleboro - Attleboro High,00160505,"   1,829",       4,,,,,,,
Attleboro - Cyril K. Brennan Middle School,00160315,     650,       2,,,,,,,
Attleboro - Wamsutta Middle School,00160320,     600,       1,,,,,,,
Auburn - Auburn Middle,00170305,     659,       2,,,,,,,
Auburn - Auburn Senior High,00170505,     859,       3,,,,,,,
Auburn - Swanson Road Intermediate School,00170030,     591,       1,,,,,,,
Avon - Avon Middle High School,00180510,     329,       2,,,,,,,
Avon - Ralph D Butler,00180010,     415,       1,,,,,,,
Barnstable - Barnstable High,00200505,"   1,897",       6,   0.0,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Barnstable - Barnstable Intermediate School,00200315,     750,       1,,,,,,,
Barnstable - West Villages Elementary School,00200045,     386,       1,,,,,,,
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,     465,       5,,,,,,,
Bedford - Bedford High,00230505,     864,       2,,,,,,,
Belchertown - Belchertown High,00240505,     669,       1,,,,,,,
Belmont - Belmont High,00260505,"   1,362",       2,,,,,,,
Belmont - Winthrop L Chenery Middle,00260305,"   1,399",       3,,,,,,,
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,     827,       1,,,,,,,
Beverly - Beverly High,00300505,"   1,337",       2,,,,,,,
Beverly - Beverly Middle School,00300305,"   1,495",       4,,,,,,,
Billerica - Billerica Memorial High School,00310505,"   1,815",       5,,,,,,,
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,"   1,237",       1,,,,,,,
Blackstone-Millville - Blackstone Millville RHS,06220505,     426,       1,,,,,,,
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,     408,       1,,,,,,,
Blackstone-Millville - John F Kennedy Elementary,06220008,     109,       1,,,,,,,
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     918,       1,,,,,,,
Boston - Another Course To College,00350541,     269,       2,,,,,,,
Boston - Boston Community Leadership Academy,00350558,     757,       8,   0.0,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Boston - Boston Latin Academy,00350545,"   1,694",       3,,,,,,,
Boston - Boston Latin School,00350560,"   2,419",       1,,,,,,,
Boston - Brighton High School,00350505,     518,       7,   0.0,   1.4,   0.0,   0.0,   0.2,   0.0,   0.0
Boston - Burke High School,00350525,     411,       2,,,,,,,
Boston - Charlestown High School,00350515,     946,       8,   0.0,   0.6,   0.0,   0.0,   0.2,   0.2,   0.0
Boston - Community Academy,00350518,      86,       1,,,,,,,
Boston - Community Academy of Science and Health,00350581,     393,       4,,,,,,,
Boston - Condon K-8 School,00350146,     759,       2,,,,,,,
Boston - Curley K-8 School,00350020,     986,       6,   0.0,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
